strategy_id,segment_id,sample_n,interested_n,qualified_n,qualified_rate,mean_wtp,reachable_buyers,base_annual_units
1,1,30,25,4,0.13333333333333333,1288.3333333333333,45000,648.0
1,2,30,19,0,0.0,835.0,55000,0.0
1,3,30,15,12,0.4,2343.3333333333335,20000,864.0
1,4,30,17,0,0.0,595.0,80000,0.0
2,1,30,26,22,0.7333333333333333,1288.3333333333333,45000,3960.0
2,2,30,27,12,0.4,835.0,55000,2640.0
2,3,30,9,9,0.3,2343.3333333333335,20000,720.0
2,4,30,21,1,0.03333333333333333,595.0,80000,319.99999999999994
3,1,30,26,13,0.43333333333333335,1288.3333333333333,45000,2457.0
3,2,30,26,0,0.0,835.0,55000,0.0
3,3,30,13,12,0.4,2343.3333333333335,20000,1008.0
3,4,30,23,0,0.0,595.0,80000,0.0
4,1,30,21,20,0.6666666666666666,1288.3333333333333,45000,4320.0
4,2,30,27,17,0.5666666666666667,835.0,55000,4488.0
4,3,30,7,7,0.23333333333333334,2343.3333333333335,20000,672.0
4,4,30,25,5,0.16666666666666666,595.0,80000,1920.0
5,1,30,21,6,0.2,1288.3333333333333,45000,918.0
5,2,30,26,0,0.0,835.0,55000,0.0
5,3,30,20,17,0.5666666666666667,2343.3333333333335,20000,1156.0
5,4,30,21,0,0.0,595.0,80000,0.0
