strategy_id,scenario_id,npv,total_units,total_revenue,total_cannibalization_loss,total_brand_loss,max_cannibalization_pct,max_brand_haircut
1,1,-7960200.016057761,3069,4750812.0,1077219.0,2608262.5725000002,0.012384000000000001,0.0225
1,2,-6274905.740502004,4385,6787980.0,1026090.0,1739608.6500000001,0.011796,0.015
1,3,-5177655.3303735135,5262,8145576.0,923481.0,1305860.83875,0.0106155,0.01125
2,1,-5995579.100727042,15509,12965524.0,1088731.8000000003,347733.80460000003,0.012513600000000001,0.003
2,2,-3519508.774916181,22156,18522416.0,1036900.8,231926.19840000002,0.0119184,0.002
2,3,-1715515.2127310727,26587,22226732.0,933203.7,174100.19444999998,0.0107262,0.0015
3,1,-4157029.9921721257,7034,6858150.0,905275.8,1044852.5177999999,0.0104049,0.009000000000000001
3,2,-2545741.716696884,10049,9797775.0,862204.2,696826.7748,0.009911,0.006
3,3,-1416250.170647464,12058,11756550.0,775932.3,523008.30465000006,0.00891825,0.0045000000000000005
4,1,-5466964.707155384,23142,1851360.0,4738324.5,2020710.159,0.0544635,0.018000000000000002
4,2,-4183000.7308217934,33060,2644800.0,4512690.000000001,1349847.72,0.051870000000000006,0.012
4,3,-3181222.3528733146,39672,3173760.0,4061421.000000001,1016447.2110000001,0.046683,0.009000000000000001
5,1,-4324415.962190006,4210,5430900.0,443313.0,699340.1220000001,0.005094899999999999,0.006
5,2,-3057718.3658017493,6014,7758060.0,422182.8,466311.2688000001,0.0048528,0.004
5,3,-2178919.5728046987,7217,9309930.0,379975.05,349860.07485,0.00436725,0.003
