strategy_id,volume_multiple,npv
1,0.7,-6794968.243895772
1,1,-6274905.740502004
1,1.3,-5755204.472701803
1,1.6,-5235093.41924426
1,2,-4542354.522355594
2,0.7,-5016878.584774053
2,1,-3519508.7749161813
2,1.3,-2022138.9650583102
2,1.6,-524975.0686707371
2,2,1471621.571887753
3,0.7,-3343308.5621287352
3,1,-2545741.7166968845
3,1.3,-1748145.8549908896
3,1.6,-951124.1286292826
3,2,112317.67612928106
4,0.7,-3697509.904796829
4,1,-4183000.730821792
4,1.3,-4668491.556846756
4,1.6,-5153982.382871719
4,2,-5801303.484238337
5,0.7,-3795310.1436871355
5,1,-3057718.3658017498
5,1.3,-2319657.765773506
5,1.6,-1582065.98788812
5,2,-598267.8365743449
